radar,date,scan_count,pvol_count,error_corrupt_file,error_deflate,error_no_vradh,error_no_dbzh,error_invalid_country,warning_country_check_skipped,error_inconsistent_metadata,warning_unknown_filename_format,error_not_pvol_nor_scan,error_invalid_odim,files_all_checks_successful,files_all_checks_successful_or_skipped
czbrd,2012-01-24,0,48,0,0,48,0,0,0,0,0,0,0,0,0
czbrd,2012-01-25,0,95,0,0,95,0,0,0,0,0,0,0,0,0
czbrd,2012-01-26,0,93,0,0,93,0,0,0,0,0,0,0,0,0
czbrd,2012-01-27,0,94,0,0,94,0,0,0,0,0,0,0,0,0
czbrd,2012-01-28,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-01-29,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-01-30,0,94,0,0,94,0,0,0,0,0,0,0,0,0
czbrd,2012-01-31,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-01,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-02,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-03,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-04,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-05,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-06,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-07,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-08,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-09,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-10,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-11,0,94,0,0,94,0,0,0,0,0,0,0,0,0
czbrd,2012-02-12,0,96,0,0,96,0,0,0,0,0,0,0,0,0
czbrd,2012-02-13,0,75,0,0,75,0,0,0,0,0,0,0,0,0
czbrd,2012-02-14,0,93,0,0,93,0,0,0,0,0,0,0,0,0
