path,scan_and_pvol_count,error_no_vradh,radar
belgium/2013/20130924.tgz,4,4,bewid
belgium/2013/20131213.tgz,67,67,bewid
belgium/2013/20131214.tgz,96,96,bewid
belgium/2013/20131215.tgz,96,96,bewid
belgium/2013/20131216.tgz,96,96,bewid
belgium/2013/20131217.tgz,96,96,bewid
belgium/2013/20131218.tgz,96,96,bewid
belgium/2013/20131219.tgz,96,96,bewid
belgium/2013/20131220.tgz,96,96,bewid
belgium/2013/20131221.tgz,96,96,bewid
belgium/2013/20131222.tgz,96,96,bewid
belgium/2013/20131223.tgz,96,96,bewid
belgium/2013/20131224.tgz,96,96,bewid
belgium/2013/20131225.tgz,96,96,bewid
belgium/2013/20131226.tgz,96,96,bewid
belgium/2013/20131227.tgz,96,96,bewid
belgium/2013/20131228.tgz,92,92,bewid
belgium/2013/20131229.tgz,96,96,bewid
belgium/2013/20131230.tgz,96,96,bewid
belgium/2013/20131231.tgz,96,96,bewid
belgium/2014/20140101.tgz,96,96,bewid
belgium/2014/20140102.tgz,96,96,bewid
belgium/2014/20140103.tgz,96,96,bewid
belgium/2014/20140104.tgz,96,96,bewid
belgium/2014/20140105.tgz,96,96,bewid
belgium/2014/20140106.tgz,96,96,bewid
belgium/2014/20140107.tgz,96,96,bewid
belgium/2014/20140108.tgz,96,96,bewid
belgium/2014/20140109.tgz,96,96,bewid
belgium/2014/20140110.tgz,96,96,bewid
belgium/2014/20140111.tgz,96,96,bewid
belgium/2014/20140112.tgz,96,96,bewid
belgium/2014/20140113.tgz,96,96,bewid
belgium/2014/20140114.tgz,96,96,bewid
belgium/2014/20140115.tgz,96,96,bewid
belgium/2014/20140116.tgz,96,96,bewid
belgium/2014/20140117.tgz,96,96,bewid
belgium/2014/20140118.tgz,96,96,bewid
belgium/2014/20140119.tgz,96,96,bewid
belgium/2014/20140120.tgz,96,96,bewid
belgium/2014/20140121.tgz,96,96,bewid
belgium/2014/20140122.tgz,96,96,bewid
belgium/2014/20140123.tgz,96,96,bewid
belgium/2014/20140124.tgz,96,96,bewid
belgium/2014/20140125.tgz,96,96,bewid
belgium/2014/20140126.tgz,96,96,bewid
belgium/2014/20140127.tgz,96,96,bewid
